Vico del Gargano comune,Vico del Gargano comune.1
,
Vico del Gargano – Veduta,Vico del Gargano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Raffaele Sciscio (lista civica) dal 15-5-2023
Territorio,Territorio
Coordinate,41°51′00″N 15°57′23″E
Altitudine,445 m s.l.m.
Superficie,"111,08 km²"
Abitanti,7 157[1] (30-11-2025)
Densità,"64,43 ab./km²"
Frazioni,San Menaio Calenella
Comuni confinanti,"Carpino, Ischitella, Monte Sant'Angelo, Peschici, Rodi Garganico, Vieste"
Altre informazioni,Altre informazioni
Cod. postale,71018
Prefisso,0884
Fuso orario,UTC+1
Codice ISTAT,071059
Cod. catastale,L842
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 974 GG[3]"
Nome abitanti,vichesi
Patrono,san Valentino
Giorno festivo,14 febbraio
PIL procapite,(nominale) 15 167 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Vico del Gargano,Vico del Gargano
Vico del Gargano – MappaPosizione del comune di Vico del Gargano nella provincia di Foggia,Vico del Gargano – MappaPosizione del comune di Vico del Gargano nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
