Lesina comune,Lesina comune.1
,
Lesina – Veduta,Lesina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Carmela Palumbo (commissario prefettizio) dal 22-1-2026
Territorio,Territorio
Coordinate,41°52′N 15°21′E
Altitudine,5 m s.l.m.
Superficie,"160,16 km²"
Abitanti,6 262[1] (30-11-2025)
Densità,"39,1 ab./km²"
Frazioni,"Marina di Lesina, Ripalta, torre mileto"
Comuni confinanti,"Apricena, Poggio Imperiale, San Paolo di Civitate, San Nicandro Garganico, Serracapriola"
Altre informazioni,Altre informazioni
Cod. postale,71010
Prefisso,0882
Fuso orario,UTC+1
Codice ISTAT,071027
Cod. catastale,E549
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 449 GG[3]"
Nome abitanti,lesinesi
Patrono,san Primiano e san Firmiano martiri
Giorno festivo,15 maggio
PIL procapite,(nominale) 14 873 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Lesina,Lesina
Lesina – MappaPosizione del comune di Lesina nella provincia di Foggia,Lesina – MappaPosizione del comune di Lesina nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
