Provincia di Foggia provincia,Provincia di Foggia provincia.1
,
"Provincia di Foggia – VedutaPalazzo Dogana, sede della provincia","Provincia di Foggia – VedutaPalazzo Dogana, sede della provincia"
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Amministrazione,Amministrazione
Capoluogo,Foggia
Presidente,Giuseppe Nobiletti (centro-sinistra) dal 29-1-2023
Territorio,Territorio
Coordinate del capoluogo,41°28′N 15°34′E
Superficie,"7 007,54 km²"
Abitanti,588 472[1] (30-9-2025)
Densità,"83,98 ab./km²"
Comuni,61 comuni
Province confinanti,"Avellino, Barletta-Andria-Trani, Benevento, Campobasso, Potenza"
Altre informazioni,Altre informazioni
Cod. postale,"71121-71122 Foggia, 71010-71051 provincia"
Prefisso,"0881, 0882, 0884, 0885"
Fuso orario,UTC+1
ISO 3166-2,IT-FG
Codice ISTAT,071
Targa,FG
PIL,"(nominale) 11 349,87 mln €[2](2021)"
PIL procapite,(nominale) 18 947 €[2](2021)
Cartografia,Cartografia
Provincia di Foggia – Localizzazione,Provincia di Foggia – Localizzazione
Provincia di Foggia – MappaPosizione della provincia di Foggia all'interno della Puglia.,Provincia di Foggia – MappaPosizione della provincia di Foggia all'interno della Puglia.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
