San Severo comune,San Severo comune.1
,
San Severo – Veduta,San Severo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Lidya Colangelo (coalizione di centro-destra) dal 24-6-2024
Territorio,Territorio
Coordinate,41°41′42.4″N 15°22′45.4″E
Altitudine,86 m s.l.m.
Superficie,"336,31 km²"
Abitanti,48 858[1] (30-11-2025)
Densità,"145,28 ab./km²"
Comuni confinanti,"Apricena, Foggia, Lucera, Rignano Garganico, San Marco in Lamis, San Paolo di Civitate, Torremaggiore"
Altre informazioni,Altre informazioni
Cod. postale,71016
Prefisso,0882
Fuso orario,UTC+1
Codice ISTAT,071051
Cod. catastale,I158
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 494 GG[3]"
Nome abitanti,sanseveresi
Patrono,Beata Vergine Maria del Soccorso
Giorno festivo,Terza domenica di maggio
PIL procapite,(nominale) 16 676 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
San Severo,San Severo
San Severo – MappaPosizione del comune di San Severo nella provincia di Foggia,San Severo – MappaPosizione del comune di San Severo nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
