Alberona comune,Alberona comune.1
,
Alberona – Veduta,Alberona – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Leonardo De Matthaeis (lista civica Alberona ti amo) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,41°26′N 15°07′E
Altitudine,732 m s.l.m.
Superficie,"49,75 km²"
Abitanti,840[1] (30-11-2025)
Densità,"16,88 ab./km²"
Comuni confinanti,"Biccari, Lucera, Roseto Valfortore, San Bartolomeo in Galdo (BN), Volturara Appula, Volturino"
Altre informazioni,Altre informazioni
Cod. postale,71031
Prefisso,0881
Fuso orario,UTC+1
Codice ISTAT,071002
Cod. catastale,A150
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 386 GG[3]"
Nome abitanti,alberonesi
Patrono,san Giovanni Battista
Giorno festivo,30 agosto
PIL procapite,(nominale) 11 241 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Alberona,Alberona
Alberona – MappaPosizione del comune di Alberona nella provincia di Foggia,Alberona – MappaPosizione del comune di Alberona nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
