Carpino comune,Carpino comune.1
,
Carpino – Veduta,Carpino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Rocco Di Brina (Lista Civica) dal 11-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,41°49′44.8″N 15°52′15.57″E
Altitudine,147 m s.l.m.
Superficie,"80,05 km²"
Abitanti,3 702[1] (30-11-2025)
Densità,"46,25 ab./km²"
Comuni confinanti,"Cagnano Varano, Ischitella, Monte Sant'Angelo, Vico del Gargano"
Altre informazioni,Altre informazioni
Cod. postale,71010
Prefisso,0884
Fuso orario,UTC+1
Codice ISTAT,071012
Cod. catastale,B829
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 368 GG[3]"
Nome abitanti,carpinesi
Patrono,san Cirillo
Giorno festivo,18 maggio
PIL procapite,(nominale) 12 751 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Carpino,Carpino
Carpino – MappaPosizione del comune di Carpino nella provincia di Foggia,Carpino – MappaPosizione del comune di Carpino nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
