Accadia comune,Accadia comune.1
,
Accadia – VedutaIl centro abitato tra montagne e oliveti,Accadia – VedutaIl centro abitato tra montagne e oliveti
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Agostino De Paolis (lista civica Accadia insieme) dal 23-9-2020[1]
Territorio,Territorio
Coordinate,41°10′N 15°20′E
Altitudine,650 m s.l.m.
Superficie,"30,74 km²"
Abitanti,2 199[2] (30-11-2025)
Densità,"71,54 ab./km²"
Frazioni,Agata delle Noci
Comuni confinanti,"Bovino, Deliceto, Monteleone di Puglia, Panni, Sant'Agata di Puglia"
Altre informazioni,Altre informazioni
Cod. postale,71021
Prefisso,0881
Fuso orario,UTC+1
Codice ISTAT,071001
Cod. catastale,A015
Targa,FG
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 223 GG[4]"
Nome abitanti,accadiesi
Patrono,san Sebastiano
Giorno festivo,20 gennaio
PIL procapite,(nominale) 15 693 € (anno d'imposta 2022)[5]
Cartografia,Cartografia
Accadia,Accadia
Accadia – MappaPosizione del comune di Accadia nella provincia di Foggia,Accadia – MappaPosizione del comune di Accadia nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
