Anzano di Puglia comune,Anzano di Puglia comune.1
,
Anzano di Puglia – Veduta,Anzano di Puglia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Paolo Lavanga (lista civica Il sole) dal 30-5-2013 (3º mandato dal 14-5-2023)
Territorio,Territorio
Coordinate,41°07′22″N 15°17′17″E
Altitudine,760 m s.l.m.
Superficie,"11,02 km²"
Abitanti,1 055[1] (30-11-2025)
Densità,"95,74 ab./km²"
Frazioni,"Carifano, Lo Russo, Losciarpo, Mastralessio, Morra, Nocelle"
Comuni confinanti,"Monteleone di Puglia, San Sossio Baronia (AV), Sant'Agata di Puglia, Scampitella (AV), Vallesaccarda (AV), Zungoli (AV)"
Altre informazioni,Altre informazioni
Cod. postale,71020
Prefisso,0881
Fuso orario,UTC+1
Codice ISTAT,071003
Cod. catastale,A320
Targa,FG
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 459 GG[3]"
Nome abitanti,anzanesi
Patrono,sant'Ansano
Giorno festivo,5 dicembre
PIL procapite,(nominale) 12 333 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Anzano di Puglia,Anzano di Puglia
Anzano di Puglia – MappaPosizione del comune di Anzano di Puglia nella provincia di Foggia,Anzano di Puglia – MappaPosizione del comune di Anzano di Puglia nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
