Rodi Garganico comune,Rodi Garganico comune.1
,
Rodi Garganico – Veduta,Rodi Garganico – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Carmine D'Anelli (lista civica D'Anelli sindaco) dal 11-6-2017 (2º mandato dal 12-06-2022)
Territorio,Territorio
Coordinate,41°55′19.9″N 15°52′37.86″E
Altitudine,42 m s.l.m.
Superficie,"13,45 km²"
Abitanti,3 310[1] (30-11-2025)
Densità,"246,1 ab./km²"
Frazioni,Lido del Sole
Comuni confinanti,"Ischitella, Vico del Gargano"
Altre informazioni,Altre informazioni
Cod. postale,71012
Prefisso,0884
Fuso orario,UTC+1
Codice ISTAT,071043
Cod. catastale,H480
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 353 GG[3]"
Nome abitanti,rodiani
Patrono,Maria Santissima della Libera e san Cristoforo
Giorno festivo,2 luglio
PIL procapite,(nominale) 15 513 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Rodi Garganico,Rodi Garganico
Rodi Garganico – MappaPosizione del comune di Rodi Garganico nella provincia di Foggia,Rodi Garganico – MappaPosizione del comune di Rodi Garganico nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
