Deliceto comune,Deliceto comune.1
,
Deliceto – Veduta,Deliceto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Pasquale Bizzarro (lista civica Insieme per Deliceto) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,41°13′N 15°23′E
Altitudine,575 m s.l.m.
Superficie,"75,85 km²"
Abitanti,3 430[1] (30-11-2025)
Densità,"45,22 ab./km²"
Comuni confinanti,"Accadia, Ascoli Satriano, Bovino, Candela, Castelluccio dei Sauri, Sant'Agata di Puglia"
Altre informazioni,Altre informazioni
Cod. postale,71026
Prefisso,0881
Fuso orario,UTC+1
Codice ISTAT,071022
Cod. catastale,D269
Targa,FG
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 245 GG[3]"
Nome abitanti,delicetani
Patrono,"san Mattia apostolo, san Benvenuto, Maria S.S. dell'Olmitello"
Giorno festivo,22 settembre
PIL procapite,(nominale) 16 572 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Deliceto,Deliceto
Deliceto – MappaPosizione del comune di Deliceto nella provincia di Foggia,Deliceto – MappaPosizione del comune di Deliceto nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
