Cerignola comune,Cerignola comune.1
,
Cerignola – VedutaDuomo Tonti,Cerignola – VedutaDuomo Tonti
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Francesco Bonito (indipendente di centro-sinistra) dal 18-10-2021
Territorio,Territorio
Coordinate,41°16′N 15°54′E
Altitudine,120 m s.l.m.
Superficie,"593,93 km²"
Abitanti,56 745[1] (30-11-2025)
Densità,"95,54 ab./km²"
Frazioni,"Angeloni, Borgo Libertà, Borgo Tressanti, Cerignola Campagna, La Pila, Montaltino, Moschella, Posta Incorvera, Posta Uccello, Pozzo Terraneo, Salice, San Giovanni in Fonte, San Michele delle Vigne, Tannioa"
Comuni confinanti,"Ascoli Satriano, Canosa di Puglia (BT), Carapelle, Foggia, Lavello (PZ), Manfredonia, Ordona, Orta Nova, San Ferdinando di Puglia (BT), Stornara, Stornarella, Trinitapoli (BT), Zapponeta"
Altre informazioni,Altre informazioni
Cod. postale,71040 e 71042
Prefisso,0885
Fuso orario,UTC+1
Codice ISTAT,071020
Cod. catastale,C514
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 465 GG[3]"
Nome abitanti,cerignolani
Patrono,"Madonna di Ripalta e san Pietro Apostolo, san Trifone compatrono"
Giorno festivo,8 settembre
PIL procapite,(nominale) 14 387 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Cerignola,Cerignola
Cerignola – MappaPosizione del comune di Cerignola nella provincia di Foggia,Cerignola – MappaPosizione del comune di Cerignola nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
