Rocchetta Sant'Antonio comune,Rocchetta Sant'Antonio comune.1
,
Rocchetta Sant'Antonio – VedutaIl paese visto da Sant'Agata di Puglia,Rocchetta Sant'Antonio – VedutaIl paese visto da Sant'Agata di Puglia
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Pompeo Circiello (lista civica Rocchetta che vorrei) dal 22-9-2020
Territorio,Territorio
Coordinate,41°06′N 15°28′E
Altitudine,633 m s.l.m.
Superficie,"72,48 km²"
Abitanti,1 598[1] (30-11-2025)
Densità,"22,05 ab./km²"
Comuni confinanti,"Candela, Lacedonia (AV), Melfi (PZ), Sant'Agata di Puglia"
Altre informazioni,Altre informazioni
Cod. postale,71020
Prefisso,0885
Fuso orario,UTC+1
Codice ISTAT,071042
Cod. catastale,H467
Targa,FG
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 263 GG[3]"
Nome abitanti,rocchettani
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
PIL procapite,(nominale) 15 982 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Rocchetta Sant'Antonio,Rocchetta Sant'Antonio
Rocchetta Sant'Antonio – MappaPosizione del comune di Rocchetta Sant'Antonio nella provincia di Foggia,Rocchetta Sant'Antonio – MappaPosizione del comune di Rocchetta Sant'Antonio nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
