Panni comune,Panni comune.1
,
Panni – VedutaIl centro storico osservato dall'altopiano della Ferrara,Panni – VedutaIl centro storico osservato dall'altopiano della Ferrara
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Amedeo De Cotiis (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,41°13′14.95″N 15°16′32.16″E
Altitudine,801 m s.l.m.
Superficie,"32,71 km²"
Abitanti,673[1] (30-11-2025)
Densità,"20,57 ab./km²"
Comuni confinanti,"Accadia, Bovino, Montaguto (AV), Monteleone di Puglia, Orsara di Puglia, Savignano Irpino (AV)"
Altre informazioni,Altre informazioni
Cod. postale,71020
Prefisso,0881
Fuso orario,UTC+1
Codice ISTAT,071037
Cod. catastale,G312
Targa,FG
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 651 GG[3]"
Nome abitanti,pannesi
Patrono,san Costanzo
Giorno festivo,26 agosto
PIL procapite,(nominale) 12 814 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Panni,Panni
Panni – MappaPosizione del comune di Panni nella provincia di Foggia,Panni – MappaPosizione del comune di Panni nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
