Besana in Brianza comune,Besana in Brianza comune.1
,
Besana in Brianza – VedutaStazione di Besana,Besana in Brianza – VedutaStazione di Besana
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Emanuele Pozzoli (Lega e liste civiche) dal 27-5-2019
Territorio,Territorio
Coordinate,45°42′N 9°17′E
Altitudine,335 m s.l.m.
Superficie,"15,76 km²"
Abitanti,15 493[1] (30-11-2025)
Densità,"983,06 ab./km²"
Frazioni,"Calò, Cazzano, Montesiro, Valle Guidino, Vergo Zoccorino, Villa Raverio, Pobiga, Fonigo, Mighinzano, Brugora, Naresso, Casaglia"
Comuni confinanti,"Briosco, Carate Brianza, Casatenovo (LC), Correzzana, Monticello Brianza (LC), Renate, Triuggio"
Altre informazioni,Altre informazioni
Cod. postale,20842
Prefisso,0362
Fuso orario,UTC+1
Codice ISTAT,108008
Cod. catastale,A818
Targa,MB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 608 GG[3]"
Nome abitanti,Besanesi
Patrono,Santa Caterina Santissimo Crocifisso
Giorno festivo,25 novembre e seconda domenica di ottobre
Cartografia,Cartografia
Besana in Brianza,Besana in Brianza
Besana in Brianza – MappaPosizione del comune di Besana in Brianza nella provincia di Monza e della Brianza,Besana in Brianza – MappaPosizione del comune di Besana in Brianza nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
