Camparada comune,Camparada comune.1
,
Camparada – VedutaPiazza Municipio e Municipio,Camparada – VedutaPiazza Municipio e Municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Maria Luisa Cogliati (lista civica Camparada Civica) dal 9-06-2024
Territorio,Territorio
Coordinate,45°39′21.52″N 9°19′10.73″E
Altitudine,243 m s.l.m.
Superficie,"1,63 km²"
Abitanti,2 267[1] (30-11-2025)
Densità,"1 390,8 ab./km²"
Comuni confinanti,"Arcore, Casatenovo (LC), Lesmo, Usmate Velate"
Altre informazioni,Altre informazioni
Cod. postale,20857
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,108014
Cod. catastale,B501
Targa,MB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 441 GG[3]"
Nome abitanti,camparadesi
Patrono,Maria Assunta San Rocco
Giorno festivo,15 - 16 agosto
Cartografia,Cartografia
Camparada,Camparada
Camparada – MappaPosizione del comune di Camparada nella provincia di Monza e della Brianza,Camparada – MappaPosizione del comune di Camparada nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
