Concorezzo comune,Concorezzo comune.1
,
Concorezzo – VedutaFacciata della Chiesa di Sant'Eugenio,Concorezzo – VedutaFacciata della Chiesa di Sant'Eugenio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Mauro Capitanio (Centro destra) dal 27-5-2019
Territorio,Territorio
Coordinate,45°35′22.83″N 9°20′09.41″E
Altitudine,171 m s.l.m.
Superficie,"8,51 km²"
Abitanti,16 160[1] (30-11-2025)
Densità,"1 898,94 ab./km²"
Frazioni,Rancate
Comuni confinanti,"Agrate Brianza, Arcore, Monza, Villasanta, Vimercate"
Altre informazioni,Altre informazioni
Cod. postale,20863
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,108021
Cod. catastale,C952
Targa,MB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 404 GG[3]"
Nome abitanti,concorezzesi
Patrono,santi Cosma e Damiano
Giorno festivo,1ª domenica di novembre
Cartografia,Cartografia
Concorezzo,Concorezzo
Concorezzo – MappaPosizione del comune di Concorezzo nella provincia di Monza e della Brianza,Concorezzo – MappaPosizione del comune di Concorezzo nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
