Cesano Maderno comune,Cesano Maderno comune.1
Città di Cesano Maderno,Città di Cesano Maderno
,
Cesano Maderno – VedutaPalazzo Arese Borromeo dalla Piazza Esedra,Cesano Maderno – VedutaPalazzo Arese Borromeo dalla Piazza Esedra
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Gianpiero Bocca (Centro-sinistra) dal 20-05-2022
Lingue ufficiali,Italiano
Territorio,Territorio
Coordinate,45°37′50.5″N 9°08′44.3″E
Altitudine,226 m s.l.m.
Superficie,"11,51 km²"
Abitanti,40 243[1] (30-11-2025)
Densità,"3 496,35 ab./km²"
Frazioni,"Binzago, Villaggio Snia, Sacra Famiglia, Cascina Gaeta, Molinello, Cassina Savina, quartiere San Giuseppe, Cesano Nord, Cascina Groane, quartieri Centrali, Portici."
Comuni confinanti,"Bovisio Masciago, Ceriano Laghetto, Cogliate, Desio, Seregno, Seveso"
Altre informazioni,Altre informazioni
Cod. postale,20811
Prefisso,0362
Fuso orario,UTC+1
Codice ISTAT,108019
Cod. catastale,C566
Targa,MB
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 450 GG[3]"
Nome abitanti,cesanesi
Patrono,santo Stefano protomartire
Giorno festivo,quarta domenica di settembre
PIL procapite,"(nominale) 20159,40 (2013)"
Cartografia,Cartografia
Cesano Maderno,Cesano Maderno
Cesano Maderno – MappaPosizione del comune di Cesano Maderno nella provincia di Monza e della Brianza,Cesano Maderno – MappaPosizione del comune di Cesano Maderno nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
