Cogliate comune,Cogliate comune.1
,
Cogliate – VedutaChiesa dei Santi Cosma e Damiano,Cogliate – VedutaChiesa dei Santi Cosma e Damiano
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Andrea Basilico (centro-destra) dall'11-6-2018 (2º mandato dal 15-05-2023)
Territorio,Territorio
Coordinate,45°38′43.84″N 9°05′16.92″E
Altitudine,236 m s.l.m.
Superficie,"6,96 km²"
Abitanti,8 477[1] (30-11-2025)
Densità,"1 217,96 ab./km²"
Frazioni,"Cascina Nuova, San Damiano"
Comuni confinanti,"Barlassina, Ceriano Laghetto, Cesano Maderno, Lentate sul Seveso, Misinto, Seveso, Rovello Porro (CO), Saronno (VA)"
Altre informazioni,Altre informazioni
Cod. postale,20815
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,108020
Cod. catastale,C820
Targa,MB
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 502 GG[3]"
Nome abitanti,cogliatesi
Patrono,San Dalmazio
Giorno festivo,seconda domenica di settembre
Cartografia,Cartografia
Cogliate,Cogliate
Cogliate – MappaPosizione del comune di Cogliate nella provincia di Monza e della Brianza,Cogliate – MappaPosizione del comune di Cogliate nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
