Caponago comune,Caponago comune.1
,
Caponago – VedutaLa parrocchiale di Santa Giuliana,Caponago – VedutaLa parrocchiale di Santa Giuliana
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,"Mauro Samuele Pollastri (lista civica ""Svolta per Caponago"") dal 26-06-2024"
Territorio,Territorio
Coordinate,45°34′N 9°23′E
Altitudine,158 m s.l.m.
Superficie,"5,04 km²"
Abitanti,5 038[1] (30-11-2025)
Densità,"999,6 ab./km²"
Comuni confinanti,"Agrate Brianza, Cambiago (MI), Carugate (MI), Pessano con Bornago (MI)"
Altre informazioni,Altre informazioni
Cod. postale,20867
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,108052
Cod. catastale,B671
Targa,MB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 404 GG[3]"
Nome abitanti,caponaghesi
Patrono,santa Giuliana di Nicomedia
Giorno festivo,prima domenica di settembre
Cartografia,Cartografia
Caponago,Caponago
Caponago – MappaPosizione del comune di Caponago nella provincia di Monza e della Brianza,Caponago – MappaPosizione del comune di Caponago nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
