Ceriano Laghetto comune,Ceriano Laghetto comune.1
,
Ceriano Laghetto – Veduta,Ceriano Laghetto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Massimiliano Armando Occa (lista civica Orizzonte comune - Ceriano Laghetto) dal 10-6-2024
Territorio,Territorio
Coordinate,45°38′N 9°05′E
Altitudine,216 m s.l.m.
Superficie,"7,08 km²"
Abitanti,6 680[1] (30-11-2025)
Densità,"943,5 ab./km²"
Frazioni,"Dal Pozzo, San Damiano"
Comuni confinanti,"Bovisio Masciago, Cesano Maderno, Cogliate, Saronno (VA), Solaro (MI)"
Altre informazioni,Altre informazioni
Cod. postale,20816
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,108018
Cod. catastale,C512
Targa,MB
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 474 GG[3]"
Nome abitanti,cerianesi
Patrono,San Vittore
Giorno festivo,ultima domenica di agosto
Cartografia,Cartografia
Ceriano Laghetto,Ceriano Laghetto
Ceriano Laghetto – MappaPosizione del comune di Ceriano Laghetto nella provincia di Monza e della Brianza,Ceriano Laghetto – MappaPosizione del comune di Ceriano Laghetto nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
