Vedano al Lambro comune,Vedano al Lambro comune.1
,
Vedano al Lambro – VedutaSantuario della Madonna della Misericordia Vedano al Lambro - Via Europa,Vedano al Lambro – VedutaSantuario della Madonna della Misericordia Vedano al Lambro - Via Europa
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Marco Merlini (lista civica di centro-destra Progetto Vedano) dal 4-10-2021
Territorio,Territorio
Coordinate,45°36′37.03″N 9°16′22.48″E
Altitudine,187 m s.l.m.
Superficie,"1,98 km²"
Abitanti,7 358[1] (30-11-2025)
Densità,"3 716,16 ab./km²"
Comuni confinanti,"Biassono, Lissone, Monza"
Altre informazioni,Altre informazioni
Cod. postale,20854
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,108046
Cod. catastale,L704
Targa,MB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 404 GG[3]"
Nome abitanti,vedanesi
Patrono,Madonna del Rosario
Giorno festivo,lunedì dopo la prima domenica di ottobre
Cartografia,Cartografia
Vedano al Lambro,Vedano al Lambro
Vedano al Lambro – MappaPosizione del comune di Vedano al Lambro nella provincia di Monza e della Brianza,Vedano al Lambro – MappaPosizione del comune di Vedano al Lambro nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
