Bellusco comune,Bellusco comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Mauro Colombo (lista civica Progetto democratico popolare) dal 27-5-2019
Territorio,Territorio
Coordinate,45°37′N 9°25′E
Altitudine,214 m s.l.m.
Superficie,"6,54 km²"
Abitanti,7 480[1] (30-11-2025)
Densità,"1 143,73 ab./km²"
Frazioni,"Camuzzago, San Nazzaro, San Giuseppe, Cascina Turro"
Comuni confinanti,"Busnago, Mezzago, Ornago, Roncello, Sulbiate, Vimercate"
Altre informazioni,Altre informazioni
Cod. postale,20882
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,108006
Cod. catastale,A759
Targa,MB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 409 GG[3]"
Nome abitanti,Belluschesi
Patrono,Santa Giustina
Giorno festivo,seconda domenica di settembre
Cartografia,Cartografia
Bellusco,Bellusco
Bellusco – MappaPosizione del comune di Bellusco nella provincia di Monza e della Brianza,Bellusco – MappaPosizione del comune di Bellusco nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
