Meda comune,Meda comune.1
,
"Meda – VedutaIl santuario del Santo Crocifisso e Villa Antona Traversi, con la chiesa di San Vittore","Meda – VedutaIl santuario del Santo Crocifisso e Villa Antona Traversi, con la chiesa di San Vittore"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Luca Santambrogio (Lega Nord) dal 25-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,45°40′N 9°10′E
Altitudine,221 m s.l.m.
Superficie,"8,31 km²"
Abitanti,23 723[1] (30-11-2025)
Densità,"2 854,75 ab./km²"
Comuni confinanti,"Barlassina, Cabiate (CO), Lentate sul Seveso, Seregno, Seveso"
Altre informazioni,Altre informazioni
Cod. postale,20821
Prefisso,0362
Fuso orario,UTC+1
Codice ISTAT,108030
Cod. catastale,F078
Targa,MB
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 481 GG[3]"
Nome abitanti,medesi
Patrono,"Santi Aimo e Vermondo, Maria Nascente"
Giorno festivo,8 settembre
Cartografia,Cartografia
Meda,Meda
Meda – MappaPosizione del comune di Meda nella provincia di Monza e della Brianza,Meda – MappaPosizione del comune di Meda nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
