Cavenago di Brianza comune,Cavenago di Brianza comune.1
,
Cavenago di Brianza – VedutaPiazza Libertà con la parrocchiale di San Giulio,Cavenago di Brianza – VedutaPiazza Libertà con la parrocchiale di San Giulio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Giacomo Biffi (lista civica di centro-sinistra Uniti per Cavenago) dal 10-6-2024
Territorio,Territorio
Coordinate,45°35′05″N 9°24′57″E
Altitudine,176 m s.l.m.
Superficie,"4,39 km²"
Abitanti,7 589[1] (30-11-2025)
Densità,"1 728,7 ab./km²"
Comuni confinanti,"Agrate Brianza, Basiano (MI), Burago di Molgora, Cambiago (MI), Ornago"
Altre informazioni,Altre informazioni
Cod. postale,20873
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,108017
Cod. catastale,C395
Targa,MB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 441 GG[3]"
Nome abitanti,cavenaghesi
Patrono,san Giulio di Orta Madonna del Rosario
Giorno festivo,31 gennaio 1ª domenica di ottobre
Cartografia,Cartografia
Cavenago di Brianza,Cavenago di Brianza
Cavenago di Brianza – MappaPosizione del comune di Cavenago di Brianza nella provincia di Monza e della Brianza,Cavenago di Brianza – MappaPosizione del comune di Cavenago di Brianza nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
