Carnate comune,Carnate comune.1
,
Carnate – VedutaPiazza Pio XII,Carnate – VedutaPiazza Pio XII
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Rosella Maggiolini (Lista civica) dal 7-5-2022
Territorio,Territorio
Coordinate,45°39′02.34″N 9°22′42.47″E
Altitudine,237 m s.l.m.
Superficie,"3,47 km²"
Abitanti,7 975[1] (30-11-2025)
Densità,"2 298,27 ab./km²"
Frazioni,Passirano
Comuni confinanti,"Bernareggio, Lomagna (LC), Osnago (LC), Ronco Briantino, Usmate Velate, Vimercate"
Altre informazioni,Altre informazioni
Cod. postale,20866
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,108016
Cod. catastale,B798
Targa,MB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 433 GG[3]"
Nome abitanti,carnatesi
Patrono,santi Cornelio e Cipriano
Giorno festivo,Domenica in Albis
Cartografia,Cartografia
Carnate,Carnate
Carnate – MappaPosizione del comune di Carnate nella provincia di Monza e della Brianza,Carnate – MappaPosizione del comune di Carnate nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
