Desio comune,Desio comune.1
,
"Desio – VedutaL'abitato di Desio visto dall'ospedale Pio XI, con la città di Milano sullo sfondo.","Desio – VedutaL'abitato di Desio visto dall'ospedale Pio XI, con la città di Milano sullo sfondo."
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Carlo Moscatelli (centro-sinistra) dal 26-5-2025
Territorio,Territorio
Coordinate,45°37′N 9°13′E
Altitudine,205 m s.l.m.
Superficie,"14,76 km²"
Abitanti,41 839[1] (30-11-2025)
Densità,"2 834,62 ab./km²"
Frazioni,"San Carlo, San Giorgio, San Giuseppe, San Vincenzo"
Comuni confinanti,"Bovisio Masciago, Cesano Maderno, Lissone, Muggiò, Nova Milanese, Seregno, Varedo"
Altre informazioni,Altre informazioni
Cod. postale,20832
Prefisso,0362
Fuso orario,UTC+1
Codice ISTAT,108023
Cod. catastale,D286
Targa,MB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 447 GG[3]"
Nome abitanti,desiani
Patrono,"Madonna del Rosario, lunedì successivo alla prima domenica di ottobre detto ""ul Madunìn"""
Giorno festivo,lunedì successivo alla prima domenica di ottobre
Cartografia,Cartografia
Desio,Desio
Desio – MappaPosizione del comune di Desio nella provincia di Monza e della Brianza,Desio – MappaPosizione del comune di Desio nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
