Macherio comune,Macherio comune.1
,
Macherio – Veduta,Macherio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Franco Redaelli (Forza Italia) dal 15-5-2023
Territorio,Territorio
Coordinate,45°38′17.02″N 9°15′45.94″E
Altitudine,215 m s.l.m.
Superficie,"3,18 km²"
Abitanti,7 582[1] (30-11-2025)
Densità,"2 384,28 ab./km²"
Frazioni,"Bareggia, Belvedere, Pedresse"
Comuni confinanti,"Biassono, Lesmo, Lissone, Sovico, Triuggio"
Altre informazioni,Altre informazioni
Cod. postale,20846
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,108029
Cod. catastale,E786
Targa,MB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 442 GG[3]"
Nome abitanti,macheriesi
Patrono,san Cassiano
Giorno festivo,ultima domenica di agosto
Cartografia,Cartografia
Macherio,Macherio
Macherio – MappaPosizione del comune di Macherio nella provincia di Monza e della Brianza,Macherio – MappaPosizione del comune di Macherio nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
