Ornago comune,Ornago comune.1
,
Ornago – VedutaSantuario della Beata Vergine del Lazzaretto,Ornago – VedutaSantuario della Beata Vergine del Lazzaretto
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Daniel Siccardi (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°36′N 9°25′E
Altitudine,193 m s.l.m.
Superficie,"5,88 km²"
Abitanti,5 459[1] (30-11-2025)
Densità,"928,4 ab./km²"
Frazioni,"Cascina Rossino, Santuario di Ornago"
Comuni confinanti,"Basiano (MI), Bellusco, Burago di Molgora, Cavenago di Brianza, Roncello, Vimercate"
Altre informazioni,Altre informazioni
Cod. postale,20876
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,108036
Cod. catastale,G116
Targa,MB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 404 GG[3]"
Nome abitanti,ornaghesi
Patrono,sant'Agata
Giorno festivo,5 febbraio
Cartografia,Cartografia
Ornago,Ornago
Ornago – MappaPosizione del comune di Ornago nella provincia di Monza e della Brianza,Ornago – MappaPosizione del comune di Ornago nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
