Roncello comune,Roncello comune.1
,
Roncello – VedutaLa chiesa parrocchiale e l'omonima piazza santi Ambrogio e Carlo in una foto del XXI secolo,Roncello – VedutaLa chiesa parrocchiale e l'omonima piazza santi Ambrogio e Carlo in una foto del XXI secolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Cristian Pulici[1] (Lega) dal 27-5-2019
Territorio,Territorio
Coordinate,45°36′N 9°27′E
Altitudine,196 m s.l.m.
Superficie,"3,16 km²"
Abitanti,4 777[2] (30-11-2025)
Densità,"1 511,71 ab./km²"
Comuni confinanti,"Basiano (MI), Bellusco, Busnago, Ornago, Trezzano Rosa (MI)"
Altre informazioni,Altre informazioni
Cod. postale,20877
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,108055
Cod. catastale,H529
Targa,MB
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 416 GG[4]"
Nome abitanti,roncellesi
Patrono,santi Ambrogio e Carlo
Giorno festivo,3ª domenica di ottobre
Cartografia,Cartografia
Roncello,Roncello
Roncello – MappaPosizione del comune di Roncello nella provincia di Monza e della Brianza,Roncello – MappaPosizione del comune di Roncello nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
