Briosco comune,Briosco comune.1
,
Briosco – Veduta,Briosco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Antonio Verbicaro (Lega-centro-destra) dal 04-10-2021
Territorio,Territorio
Coordinate,45°43′N 9°14′E
Altitudine,271 m s.l.m.
Superficie,"6,61 km²"
Abitanti,6 132[1] (30-11-2025)
Densità,"927,69 ab./km²"
Frazioni,"Capriano, Fornaci"
Comuni confinanti,"Besana in Brianza, Carate Brianza, Giussano, Inverigo (CO), Renate, Veduggio con Colzano, Verano Brianza, Arosio (CO)"
Altre informazioni,Altre informazioni
Cod. postale,20836
Prefisso,0362
Fuso orario,UTC+1
Codice ISTAT,108011
Cod. catastale,B187
Targa,MB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 521 GG[3]"
Nome abitanti,brioschesi
Patrono,Sant'Ambrogio e San Vittore
Giorno festivo,prima domenica di ottobre
Cartografia,Cartografia
Briosco,Briosco
Briosco – MappaPosizione del comune di Briosco nella provincia di Monza e della Brianza,Briosco – MappaPosizione del comune di Briosco nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
