Sovico comune,Sovico comune.1
,
Sovico – Veduta,Sovico – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Barbara Magni (Lega - Centrodestra Sovico) dal 27-5-2019
Territorio,Territorio
Coordinate,45°39′N 9°16′E
Altitudine,221 m s.l.m.
Superficie,"3,26 km²"
Abitanti,8 297[1] (30-11-2025)
Densità,"2 545,09 ab./km²"
Comuni confinanti,"Albiate, Lissone, Macherio, Triuggio"
Altre informazioni,Altre informazioni
Cod. postale,20845
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,108041
Cod. catastale,I878
Targa,MB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 450 GG[3]"
Nome abitanti,Sovicesi
Patrono,Santi Simone e Giuda
Giorno festivo,28 ottobre
Cartografia,Cartografia
Sovico,Sovico
Sovico – MappaPosizione del comune di Sovico nella provincia di Monza e della Brianza,Sovico – MappaPosizione del comune di Sovico nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
