Nova Milanese comune,Nova Milanese comune.1
Città di Nova Milanese,Città di Nova Milanese
,
Nova Milanese – VedutaPiazza Marconi,Nova Milanese – VedutaPiazza Marconi
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Fabrizio Pagani (PD) dal 29-05-2023
Territorio,Territorio
Coordinate,45°35′N 9°12′E
Altitudine,175 m s.l.m.
Superficie,"5,85 km²"
Abitanti,23 059[1] (30-11-2025)
Densità,"3 941,71 ab./km²"
Comuni confinanti,"Cinisello Balsamo (MI), Desio, Muggiò, Paderno Dugnano (MI), Varedo"
Altre informazioni,Altre informazioni
Cod. postale,20834
Prefisso,0362
Fuso orario,UTC+1
Codice ISTAT,108035
Cod. catastale,F944
Targa,MB
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 404 GG[3]"
Nome abitanti,novesi
Patrono,sant'Antonino Martire
Giorno festivo,terza domenica di settembre
Cartografia,Cartografia
Nova Milanese,Nova Milanese
Nova Milanese – MappaPosizione del comune di Nova Milanese nella provincia di Monza e della Brianza,Nova Milanese – MappaPosizione del comune di Nova Milanese nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
