Ronco Briantino comune,Ronco Briantino comune.1
,
Ronco Briantino – Veduta,Ronco Briantino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Francesco Colombo (lista civica di centro-sinistra) dall'11-6-2024
Territorio,Territorio
Coordinate,45°40′N 9°24′E
Altitudine,247 m s.l.m.
Superficie,"2,97 km²"
Abitanti,3 780[1] (30-11-2025)
Densità,"1 272,73 ab./km²"
Comuni confinanti,"Bernareggio, Carnate, Merate (LC), Osnago (LC), Robbiate (LC), Verderio (LC)"
Altre informazioni,Altre informazioni
Cod. postale,20885
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,108038
Cod. catastale,H537
Targa,MB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 441 GG[3]"
Nome abitanti,ronchesi
Patrono,Madonna del Rosario
Giorno festivo,seconda domenica di ottobre
Cartografia,Cartografia
Ronco Briantino,Ronco Briantino
Ronco Briantino – MappaPosizione del comune di Ronco Briantino nella provincia di Monza e della Brianza,Ronco Briantino – MappaPosizione del comune di Ronco Briantino nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
