Monza comune,Monza comune.1
(dettagli),(dettagli)
"Monza – VedutaIl Centro Storico con il Duomo e l'Arengario, sullo sfondo la Brianza.","Monza – VedutaIl Centro Storico con il Duomo e l'Arengario, sullo sfondo la Brianza."
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Paolo Pilotto (PD) dal 28-6-2022
Data di istituzione,anno 1174[N 1][1]
Territorio,Territorio
Coordinate,45°35′01″N 9°16′25″E
Altitudine,162 m s.l.m.
Superficie,"33,09 km²"
Abitanti,123 637[2] (30-11-2025)
Densità,"3 736,39 ab./km²"
Frazioni,nessuna[3]; vedi elenco quartieri
Comuni confinanti,"Agrate Brianza, Biassono, Brugherio, Cinisello Balsamo (MI), Concorezzo, Lissone, Muggiò, Sesto San Giovanni (MI), Vedano al Lambro, Villasanta"
Altre informazioni,Altre informazioni
Cod. postale,20900
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,108033
Cod. catastale,F704
Targa,MB
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 404 GG[5]"
Nome abitanti,monzesi
Patrono,San Giovanni Battista San Gerardo dei Tintori
Giorno festivo,24 giugno
PIL procapite,(nominale) 27 662 €[6]
Cartografia,Cartografia
Monza,Monza
Monza – MappaPosizione del comune di Monza nella provincia di Monza e Brianza,Monza – MappaPosizione del comune di Monza nella provincia di Monza e Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
