Agrate Brianza comune,Agrate Brianza comune.1
,
Agrate Brianza – VedutaVista sulla parrocchiale di Sant'Eusebio e via Mazzini,Agrate Brianza – VedutaVista sulla parrocchiale di Sant'Eusebio e via Mazzini
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Simone Sironi (lista civica di centro-sinistra) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°34′42″N 9°21′08″E
Altitudine,165 m s.l.m.
Superficie,"11,22 km²"
Abitanti,15 907[1] (30-11-2025)
Densità,"1 417,74 ab./km²"
Frazioni,Omate
Comuni confinanti,"Brugherio, Burago di Molgora, Cavenago di Brianza, Cambiago (MI), Caponago, Carugate (MI), Concorezzo, Monza, Vimercate"
Altre informazioni,Altre informazioni
Cod. postale,20864
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,108001
Cod. catastale,A087
Targa,MB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 557 GG[3]"
Nome abitanti,agratesi
Patrono,sant'Eusebio
Giorno festivo,2 agosto e prima domenica di ottobre
Cartografia,Cartografia
Agrate Brianza,Agrate Brianza
Agrate Brianza – MappaPosizione del comune di Agrate Brianza nella provincia di Monza e della Brianza,Agrate Brianza – MappaPosizione del comune di Agrate Brianza nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
