Limbiate comune,Limbiate comune.1
,
Limbiate – VedutaIl comune di Limbiate la sera,Limbiate – VedutaIl comune di Limbiate la sera
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Antonio Domenico Romeo (centro-destra) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°35′50″N 9°07′48″E
Altitudine,187 m s.l.m.
Superficie,"12,29 km²"
Abitanti,35 839[1] (30-11-2025)
Densità,"2 916,11 ab./km²"
Frazioni,"Ceresolo, Mombello, Pinzano, Villaggio dei Giovi, Villaggio del Sole, Villaggio dei Fiori, San Francesco, Chalet del Laghetto, Villaggio Groane"
Comuni confinanti,"Bovisio Masciago, Cesate (MI), Paderno Dugnano (MI), Senago (MI), Solaro (MI), Varedo"
Altre informazioni,Altre informazioni
Cod. postale,20812
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,108027
Cod. catastale,E591
Targa,MB
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 421 GG[3]"
Nome abitanti,limbiatesi
Patrono,San Giorgio Madonna del Rosario
Giorno festivo,23 aprile lunedì successivo alla prima domenica di ottobre
Cartografia,Cartografia
Limbiate,Limbiate
Limbiate – MappaPosizione del comune di Limbiate nella provincia di Monza e della Brianza,Limbiate – MappaPosizione del comune di Limbiate nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
