Burago di Molgora comune,Burago di Molgora comune.1
,
Burago di Molgora – VedutaVeduta con la parrocchiale dei Santi Vito e Modesto,Burago di Molgora – VedutaVeduta con la parrocchiale dei Santi Vito e Modesto
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Luca Valaguzza (centro-sinistra) dal 9-06-2024
Territorio,Territorio
Coordinate,45°36′N 9°23′E
Altitudine,182 m s.l.m.
Superficie,"3,43 km²"
Abitanti,4 366[1] (30-11-2025)
Densità,"1 272,89 ab./km²"
Comuni confinanti,"Agrate Brianza, Cavenago di Brianza, Ornago, Vimercate"
Altre informazioni,Altre informazioni
Cod. postale,20875
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,108013
Cod. catastale,B272
Targa,MB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 416 GG[3]"
Nome abitanti,Buraghesi
Patrono,San Vito e San Modesto
Giorno festivo,15 giugno
Cartografia,Cartografia
Burago di Molgora,Burago di Molgora
Burago di Molgora – MappaPosizione del comune di Burago di Molgora nella provincia di Monza e Brianza,Burago di Molgora – MappaPosizione del comune di Burago di Molgora nella provincia di Monza e Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
