Lentate sul Seveso comune,Lentate sul Seveso comune.1
,
"Lentate sul Seveso – VedutaL'oratorio di Santo Stefano, sulla sinistra, e la parrocchiale di San Vito, a destra.","Lentate sul Seveso – VedutaL'oratorio di Santo Stefano, sulla sinistra, e la parrocchiale di San Vito, a destra."
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Laura Ferrari (Forza Italia) dal 12-6-2017 (2º mandato dal 13-06-2022)
Territorio,Territorio
Coordinate,45°40′42.4″N 9°07′18.8″E
Altitudine,250 m s.l.m.
Superficie,"13,98 km²"
Abitanti,16 064[1] (30-11-2025)
Densità,"1 149,07 ab./km²"
Frazioni,"Birago, Camnago, Cimnago, Copreno"
Comuni confinanti,"Barlassina, Cabiate (CO), Carimate (CO), Cermenate (CO), Cogliate, Lazzate, Mariano Comense (CO), Meda, Misinto, Novedrate (CO)"
Altre informazioni,Altre informazioni
Cod. postale,20823
Prefisso,0362
Fuso orario,UTC+1
Codice ISTAT,108054
Cod. catastale,E530
Targa,MB
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 521 GG[3]"
Nome abitanti,lentatesi
Patrono,san Vito
Giorno festivo,lunedì successivo alla 3ª domenica di ottobre
Cartografia,Cartografia
Lentate sul Seveso,Lentate sul Seveso
Lentate sul Seveso – MappaPosizione del comune di Lentate sul Seveso nella provincia di Monza e della Brianza,Lentate sul Seveso – MappaPosizione del comune di Lentate sul Seveso nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
