Lesmo comune,Lesmo comune.1
,
Lesmo – VedutaLa parrocchiale di Santa Maria Assunta,Lesmo – VedutaLa parrocchiale di Santa Maria Assunta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Sara Dossola (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°39′N 9°19′E
Altitudine,240 m s.l.m.
Superficie,"5,12 km²"
Abitanti,8 376[1] (30-11-2025)
Densità,"1 635,94 ab./km²"
Frazioni,"California, Gerno, Peregallo"
Comuni confinanti,"Arcore, Biassono, Camparada, Casatenovo (LC), Correzzana, Macherio, Triuggio"
Altre informazioni,Altre informazioni
Cod. postale,20855
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,108026
Cod. catastale,E550
Targa,MB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 434 GG[3]"
Nome abitanti,lesmesi
Patrono,Maria Assunta
Giorno festivo,seconda domenica di luglio
Cartografia,Cartografia
Lesmo,Lesmo
Lesmo – MappaPosizione del comune di Lesmo nella provincia di Monza e della Brianza,Lesmo – MappaPosizione del comune di Lesmo nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
