Busnago comune,Busnago comune.1
,
Busnago – VedutaPiazza Roma,Busnago – VedutaPiazza Roma
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Danilo Quadri (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,45°37′N 9°28′E
Altitudine,210 m s.l.m.
Superficie,"5,78 km²"
Abitanti,6 896[1] (30-11-2025)
Densità,"1 193,08 ab./km²"
Comuni confinanti,"Bellusco, Cornate d'Adda, Grezzago (MI), Mezzago, Roncello, Trezzano Rosa (MI), Trezzo sull'Adda (MI)"
Altre informazioni,Altre informazioni
Cod. postale,20874
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,108051
Cod. catastale,B289
Targa,MB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 408 GG[3]"
Nome abitanti,busnaghesi
Patrono,sant'Anna
Giorno festivo,26 luglio
Cartografia,Cartografia
Busnago,Busnago
Busnago – MappaPosizione del comune di Busnago nella provincia di Monza e della Brianza,Busnago – MappaPosizione del comune di Busnago nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
