Villasanta comune,Villasanta comune.1
,
Villasanta – Veduta,Villasanta – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Lorenzo Galli (centro-sinistra) dal 10-6-2024
Territorio,Territorio
Coordinate,45°36′19″N 9°18′11.9″E
Altitudine,173 m s.l.m.
Superficie,"4,86 km²"
Abitanti,14 296[1] (30-11-2025)
Densità,"2 941,56 ab./km²"
Frazioni,"La Santa (sede comunale), San Fiorano, Sant'Alessandro"
Comuni confinanti,"Arcore, Biassono, Concorezzo, Monza"
Altre informazioni,Altre informazioni
Cod. postale,20852
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,108049
Cod. catastale,M017
Targa,MB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 404 GG[3]"
Nome abitanti,villasantesi
Patrono,Sant'Anastasia San Marco Soldato
Giorno festivo,seconda domenica di ottobre
Cartografia,Cartografia
Villasanta,Villasanta
Villasanta – MappaPosizione del comune di Villasanta nella provincia di Monza e della Brianza,Villasanta – MappaPosizione del comune di Villasanta nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
