Arcore comune,Arcore comune.1
,
Arcore – VedutaLa parrocchiale di Sant'Eustorgio,Arcore – VedutaLa parrocchiale di Sant'Eustorgio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Maurizio Bono (centro-destra) dal 18-10-2021
Territorio,Territorio
Coordinate,45°38′N 9°19′E
Altitudine,193 m s.l.m.
Superficie,"9,25 km²"
Abitanti,17 937[1] (30-11-2025)
Densità,"1 939,14 ab./km²"
Frazioni,"Bernate, Bruno, Cà, Cà Bianca[2]"
Comuni confinanti,"Biassono, Camparada, Concorezzo, Lesmo, Usmate Velate, Villasanta, Vimercate"
Altre informazioni,Altre informazioni
Cod. postale,20862
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,108004
Cod. catastale,A376
Targa,MB
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 470 GG[4]"
Nome abitanti,arcoresi
Patrono,sant'Eustorgio
Giorno festivo,terzo lunedì di settembre
Cartografia,Cartografia
Arcore,Arcore
Arcore – MappaPosizione del comune di Arcore nella provincia di Monza e della Brianza,Arcore – MappaPosizione del comune di Arcore nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
