Verano Brianza comune,Verano Brianza comune.1
,
Verano Brianza – VedutaLa chiesa dei Santi Nazaro e Celso,Verano Brianza – VedutaLa chiesa dei Santi Nazaro e Celso
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Samuele Consonni (lista civica di centro-sinistra ViviVerano) dal 04-10-2021
Territorio,Territorio
Coordinate,45°41′05.78″N 9°13′24.94″E
Altitudine,264 m s.l.m.
Superficie,"3,52 km²"
Abitanti,9 132[1] (30-11-2025)
Densità,"2 594,32 ab./km²"
Comuni confinanti,"Briosco, Carate Brianza, Giussano"
Altre informazioni,Altre informazioni
Cod. postale,20843
Prefisso,0362
Fuso orario,UTC+1
Codice ISTAT,108048
Cod. catastale,L744
Targa,MB
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 537 GG[3]"
Nome abitanti,veranesi
Patrono,santi Nazario e Celso
Giorno festivo,28 luglio
Cartografia,Cartografia
Verano Brianza,Verano Brianza
Verano Brianza – MappaPosizione del comune di Verano Brianza nella provincia di Monza e della Brianza,Verano Brianza – MappaPosizione del comune di Verano Brianza nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
