Triuggio comune,Triuggio comune.1
,
Triuggio – Vedutail fiume Lambro a Triuggio,Triuggio – Vedutail fiume Lambro a Triuggio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Pietro Giovanni Maria Cicardi (lista civica Progetto Triuggio) dal 26-5-2014
Territorio,Territorio
Coordinate,45°40′N 9°16′E
Altitudine,231 m s.l.m.
Superficie,"8,34 km²"
Abitanti,8 804[1] (30-11-2025)
Densità,"1 055,64 ab./km²"
Frazioni,"Tregasio, Canonica Lambro, Rancate, Montemerlo, Zuccone Rubasacco"
Comuni confinanti,"Albiate, Besana in Brianza, Carate Brianza, Correzzana, Lesmo, Macherio, Sovico"
Altre informazioni,Altre informazioni
Lingue,italiano
Cod. postale,20844
Prefisso,+0362
Fuso orario,UTC+1
Codice ISTAT,108043
Cod. catastale,L434
Targa,MB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 466 GG[3]"
Nome abitanti,triuggesi
Patrono,Sant'Antonino e la Vergine Addolorata
Giorno festivo,terza domenica di settembre
Cartografia,Cartografia
Triuggio,Triuggio
Triuggio – MappaPosizione del comune di Triuggio nella provincia di Monza e della Brianza,Triuggio – MappaPosizione del comune di Triuggio nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
