Varedo comune,Varedo comune.1
,
Varedo – VedutaPiazza Parrocchiale,Varedo – VedutaPiazza Parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Filippo Vergani (centro-destra) dal 6-6-2016
Territorio,Territorio
Coordinate,45°36′N 9°10′E
Altitudine,180 m s.l.m.
Superficie,"4,85 km²"
Abitanti,14 025[1] (30-11-2025)
Densità,"2 891,75 ab./km²"
Frazioni,Valera
Comuni confinanti,"Bovisio Masciago, Desio, Limbiate, Nova Milanese, Paderno Dugnano (MI)"
Altre informazioni,Altre informazioni
Cod. postale,20814
Prefisso,0362
Fuso orario,UTC+1
Codice ISTAT,108045
Cod. catastale,L677
Targa,MB
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 404 GG[3]"
Nome abitanti,varedesi
Patrono,Beata Vergine del Rosario
Giorno festivo,seconda domenica di ottobre
Cartografia,Cartografia
Varedo,Varedo
Varedo – MappaPosizione del comune di Varedo nella provincia di Monza e della Brianza,Varedo – MappaPosizione del comune di Varedo nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
