Biassono comune,Biassono comune.1
,
Biassono – VedutaLa Torre di Piazza Italia,Biassono – VedutaLa Torre di Piazza Italia
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Luciano Casiraghi (Lega Nord) dal 6-6-2016
Territorio,Territorio
Coordinate,45°37′50″N 9°16′28″E
Altitudine,202 m s.l.m.
Superficie,"4,89 km²"
Abitanti,12 429[1] (30-11-2025)
Densità,"2 541,72 ab./km²"
Frazioni,San Giorgio al Lambro
Comuni confinanti,"Arcore, Lesmo, Lissone, Macherio, Monza, Vedano al Lambro, Villasanta"
Altre informazioni,Altre informazioni
Cod. postale,20853
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,108009
Cod. catastale,A849
Targa,MB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 447 GG[3]"
Nome abitanti,biassonesi
Patrono,san Martino
Giorno festivo,quarta domenica di settembre
Cartografia,Cartografia
Biassono,Biassono
Biassono – MappaPosizione del comune di Biassono nella provincia di Monza e della Brianza,Biassono – MappaPosizione del comune di Biassono nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
