Cornate d'Adda comune,Cornate d'Adda comune.1
Città di Cornate d'Adda,Città di Cornate d'Adda
(dettagli),(dettagli)
Cornate d'Adda – VedutaLa chiesa di San Giorgio Martire,Cornate d'Adda – VedutaLa chiesa di San Giorgio Martire
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Andrea Panzeri (lista civica Insieme si può) dal 10-6-2024
Territorio,Territorio
Coordinate,45°39′N 9°28′E
Altitudine,236 m s.l.m.
Superficie,"13,82 km²"
Abitanti,11 140[1] (30-11-2025)
Densità,"806,08 ab./km²"
Frazioni,"Colnago, Porto d'Adda, Villa Paradiso"
Comuni confinanti,"Bottanuco (BG), Busnago, Medolago (BG), Mezzago, Paderno d'Adda (LC), Suisio (BG), Sulbiate, Trezzo sull'Adda (MI), Verderio (LC)"
Altre informazioni,Altre informazioni
Cod. postale,20872
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,108053
Cod. catastale,D019
Targa,MB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 426 GG[3]"
Nome abitanti,cornatesi
Patrono,san Giorgio Martire (tradizionalmente san Luigi)
Giorno festivo,seconda domenica di settembre
Cartografia,Cartografia
Cornate d'Adda,Cornate d'Adda
Cornate d'Adda – MappaPosizione del comune di Cornate d'Adda nella provincia di Monza e della Brianza,Cornate d'Adda – MappaPosizione del comune di Cornate d'Adda nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
