Usmate Velate comune,Usmate Velate comune.1
,
"Usmate Velate – VedutaChiesa di Santa Margherita, ad Usmate","Usmate Velate – VedutaChiesa di Santa Margherita, ad Usmate"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Lisa Mandelli (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°39′N 9°21′E
Altitudine,221 m s.l.m.
Superficie,"9,75 km²"
Abitanti,10 737[1] (30-11-2025)
Densità,"1 101,23 ab./km²"
Frazioni,Corrada[2]
Comuni confinanti,"Arcore, Camparada, Carnate, Casatenovo (LC), Lomagna (LC), Vimercate"
Altre informazioni,Altre informazioni
Cod. postale,20865
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,108044
Cod. catastale,L511
Targa,MB
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 410 GG[4]"
Nome abitanti,"usmatevelatesi, usmatesi, velatesi"
Patrono,Santa Margherita
Giorno festivo,primo lunedì di luglio
Cartografia,Cartografia
Usmate Velate,Usmate Velate
Usmate Velate – MappaPosizione del comune di Usmate Velate nella provincia di Monza e della Brianza,Usmate Velate – MappaPosizione del comune di Usmate Velate nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
