Carate Brianza comune,Carate Brianza comune.1
,
Carate Brianza – VedutaLa prepositurale dei Santi Ambrogio e Simpliciano,Carate Brianza – VedutaLa prepositurale dei Santi Ambrogio e Simpliciano
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Luca Veggian (FI) dal 25-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,45°41′N 9°14′E
Altitudine,250 m s.l.m.
Superficie,"9,92 km²"
Abitanti,18 053[1] (30-11-2025)
Densità,"1 819,86 ab./km²"
Frazioni,"Agliate, Costa Lambro, Realdino"
Comuni confinanti,"Albiate, Besana in Brianza, Briosco, Giussano, Seregno, Triuggio, Verano Brianza"
Altre informazioni,Altre informazioni
Cod. postale,20841 (fino al 29/10/2010 era 20048)
Prefisso,0362
Fuso orario,UTC+1
Codice ISTAT,108015
Cod. catastale,B729
Targa,MB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 492 GG[3]"
Nome abitanti,caratesi
Patrono,sant'Ambrogio
Giorno festivo,7 dicembre
Cartografia,Cartografia
Carate Brianza,Carate Brianza
Carate Brianza – MappaPosizione del comune di Carate Brianza nella provincia di Monza e della Brianza,Carate Brianza – MappaPosizione del comune di Carate Brianza nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
