Mezzago comune,Mezzago comune.1
,
Mezzago – VedutaTorre di Palazzo Archinti,Mezzago – VedutaTorre di Palazzo Archinti
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Massimiliano Rivabeni (lista civica Cambia Mezzago) dal 27-5-2019
Territorio,Territorio
Coordinate,45°37′43″N 9°26′39″E
Altitudine,219 m s.l.m.
Superficie,"4,32 km²"
Abitanti,4 477[1] (30-11-2025)
Densità,"1 036,34 ab./km²"
Frazioni,Cascina Orobona
Comuni confinanti,"Bellusco, Busnago, Cornate d'Adda, Sulbiate"
Altre informazioni,Altre informazioni
Cod. postale,20883
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,108031
Cod. catastale,F165
Targa,MB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 420 GG[3]"
Nome abitanti,mezzaghesi
Patrono,Santa Maria Assunta
Giorno festivo,15 agosto e terza domenica di settembre
Cartografia,Cartografia
Mezzago,Mezzago
Mezzago – MappaPosizione del comune di Mezzago nella provincia di Monza e della Brianza,Mezzago – MappaPosizione del comune di Mezzago nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
