Aicurzio comune,Aicurzio comune.1
,
Aicurzio – VedutaVilla Paravicini,Aicurzio – VedutaVilla Paravicini
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Matteo Raffaele Baraggia (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°38′N 9°25′E
Altitudine,230 m s.l.m.
Superficie,"2,47 km²"
Abitanti,2 077[1] (30-11-2025)
Densità,"840,89 ab./km²"
Frazioni,Castel Negrino[2]
Comuni confinanti,"Bernareggio, Sulbiate, Verderio (LC)"
Altre informazioni,Altre informazioni
Cod. postale,20886
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,108002
Cod. catastale,A096
Targa,MB
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 415 GG[4]"
Nome abitanti,aicurziesi
Patrono,sant'Andrea Apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Aicurzio,Aicurzio
Aicurzio – MappaPosizione del comune di Aicurzio nella provincia di Monza e della Brianza,Aicurzio – MappaPosizione del comune di Aicurzio nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
