Veduggio con Colzano comune,Veduggio con Colzano comune.1
,
Veduggio con Colzano – Veduta,Veduggio con Colzano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Luigi Alessandro Dittonghi (centro-destra) dal 27-5-2019
Territorio,Territorio
Coordinate,45°44′N 9°16′E
Altitudine,325 m s.l.m.
Superficie,"3,56[1] km²"
Abitanti,4 182[2] (30-11-2025)
Densità,"1 174,72 ab./km²"
Frazioni,"Colzano, Tremolada, Bruscó"
Comuni confinanti,"Briosco, Cassago Brianza (LC), Inverigo (CO), Nibionno (LC), Renate"
Altre informazioni,Altre informazioni
Cod. postale,20837
Prefisso,0362
Fuso orario,UTC+1
Codice ISTAT,108047
Cod. catastale,L709
Targa,MB
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 532 GG[4]"
Nome abitanti,Veduggesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Veduggio con Colzano,Veduggio con Colzano
Veduggio con Colzano – MappaPosizione del comune di Veduggio con Colzano nella provincia di Monza e della Brianza,Veduggio con Colzano – MappaPosizione del comune di Veduggio con Colzano nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
