Seveso comune,Seveso comune.1
,
Seveso – VedutaFacciata della chiesa dei santi Protaso e Gervaso,Seveso – VedutaFacciata della chiesa dei santi Protaso e Gervaso
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Alessia Borroni (centrodestra) dal 31-10-2021
Territorio,Territorio
Coordinate,45°38′36.3″N 9°08′14.6″E
Altitudine,211 m s.l.m.
Superficie,"7,4 km²"
Abitanti,23 984[1] (30-11-2025)
Densità,"3 241,08 ab./km²"
Sottodivisioni ulteriori,"Altopiano, San Pietro Martire, Baruccana, Meredo[2]"
Comuni confinanti,"Barlassina, Cesano Maderno, Cogliate, Meda, Seregno"
Altre informazioni,Altre informazioni
Cod. postale,20822
Prefisso,0362
Fuso orario,UTC+1
Codice ISTAT,108040
Cod. catastale,I709
Targa,MB
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 467 GG[4]"
Nome abitanti,sevesini
Patrono,Gervasio e Protasio[5]
Giorno festivo,Calendimaggio (lunedì successivo alla 1ª domenica di maggio)
Cartografia,Cartografia
Seveso,Seveso
Seveso – MappaPosizione del comune di Seveso nella provincia di Monza e della Brianza,Seveso – MappaPosizione del comune di Seveso nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
