Palau comune,Palau comune.1
(IT) Palau (SDN) Lu Palàu,(IT) Palau (SDN) Lu Palàu
,
Palau – Veduta,Palau – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Gallura Nord-Est Sardegna
Amministrazione,Amministrazione
Sindaco,Francesco Giuseppe Manna (lista civica) dal 10-6-2018 (2º mandato dal 29-5-2023)
Territorio,Territorio
Coordinate,41°11′N 9°23′E
Altitudine,5 m s.l.m.
Superficie,"44,44 km²"
Abitanti,4 063[1] (30-11-2025)
Densità,"91,43 ab./km²"
Frazioni,"Altura, Barrabisa, Capannaccia, Capo d'Orso, Costa Serena, L'Isuledda, Le Saline, Liscia Culumba, Petralana, Porto Pollo, Porto Rafael, Stazzo Pulcheddu, Punta Sardegna, Talmone"
Comuni confinanti,"Arzachena, Santa Teresa Gallura, Tempio Pausania (isole amministrative di Bassacutena e San Pasquale)"
Altre informazioni,Altre informazioni
Cod. postale,07020
Prefisso,0789
Fuso orario,UTC+1
Codice ISTAT,113020
Cod. catastale,G258
Targa,OT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,"(IT, SDN) palaesi"
Cartografia,Cartografia
Palau,Palau
Palau – MappaPosizione del comune di Palau nella provincia della Gallura Nord-Est Sardegna,Palau – MappaPosizione del comune di Palau nella provincia della Gallura Nord-Est Sardegna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
