Padru comune,Padru comune.1
"(IT, SC) Padru (SDN) Patru","(IT, SC) Padru (SDN) Patru"
,
Padru – VedutaChiesa del Sacro Cuore,Padru – VedutaChiesa del Sacro Cuore
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Gallura Nord-Est Sardegna
Amministrazione,Amministrazione
Sindaco,Antonello Idini (lista civica) dal 26-10-2020
Territorio,Territorio
Coordinate,40°46′N 9°31′E
Altitudine,160 m s.l.m.
Superficie,158 km²
Abitanti,2 128[1] (30-11-2025)
Densità,"13,47 ab./km²"
Frazioni,"Biasì, Budò, Cuzzola, Granidolzu, Ludurru, Nodalvu, Pedra Bianca, Sas Enas, Sa Serra, Sos Runcos, Sotza, Tirialzu"
Comuni confinanti,"Alà dei Sardi, Loiri Porto San Paolo, Olbia (isola amministrativa di Berchiddeddu), San Teodoro, Torpè (NU), Lodè (NU), Bitti (NU)"
Altre informazioni,Altre informazioni
Cod. postale,07020
Prefisso,0789
Fuso orario,UTC+1
Codice ISTAT,113019
Cod. catastale,M301
Targa,OT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) padresi (SC) padresos (SDN) patresi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Padru,Padru
Padru – MappaPosizione del comune di Padru nella provincia della Gallura Nord-Est Sardegna,Padru – MappaPosizione del comune di Padru nella provincia della Gallura Nord-Est Sardegna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
