Telti comune,Telti comune.1
"(IT, SDN) Telti","(IT, SDN) Telti"
,
Telti – VedutaLa chiesa principale,Telti – VedutaLa chiesa principale
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Gallura Nord-Est Sardegna
Amministrazione,Amministrazione
Sindaco,Domenico Vittorio Pinducciu (lista civica) dall'11-10-2021
Territorio,Territorio
Coordinate,40°53′N 9°21′E
Altitudine,326 m s.l.m.
Superficie,"83,25 km²"
Abitanti,2 283[1] (30-11-2025)
Densità,"27,42 ab./km²"
Frazioni,"Su Canale (condivisa con i comuni di Monti, Loiri Porto San Paolo e Olbia)"
Comuni confinanti,"Calangianus, Monti, Olbia, Sant'Antonio di Gallura"
Altre informazioni,Altre informazioni
Cod. postale,07020
Prefisso,0789
Fuso orario,UTC+1
Codice ISTAT,113024
Cod. catastale,L088
Targa,OT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,"(IT, SDN) teltesi"
Patrono,santa Vittoria e santa Anatolia
Cartografia,Cartografia
Telti,Telti
Telti – MappaPosizione del comune di Telti nella provincia della Gallura Nord-Est Sardegna,Telti – MappaPosizione del comune di Telti nella provincia della Gallura Nord-Est Sardegna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
