Luras comune,Luras comune.1
"(IT, SC) Luras (SDN) Lùrisi","(IT, SC) Luras (SDN) Lùrisi"
,
Luras – Veduta,Luras – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Gallura Nord-Est Sardegna
Amministrazione,Amministrazione
Sindaco,Leonardo Lutzoni (Luras Innova) dal 09-06-25
Territorio,Territorio
Coordinate,40°56′09″N 9°10′29″E
Altitudine,508 m s.l.m.
Superficie,"87,59 km²"
Abitanti,2 367[1] (30-11-2025)
Densità,"27,02 ab./km²"
Comuni confinanti,"Arzachena, Calangianus, Luogosanto, Sant'Antonio di Gallura, Tempio Pausania"
Altre informazioni,Altre informazioni
Cod. postale,07025
Prefisso,079
Fuso orario,UTC+1
Codice ISTAT,113015
Cod. catastale,E752
Targa,OT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) luresi (SC) luresincos (SDN) lurisinchi
Patrono,Nostra Signora del SS. Rosario
Cartografia,Cartografia
Luras,Luras
Luras – MappaPosizione del comune di Luras nella provincia della Gallura Nord-Est Sardegna,Luras – MappaPosizione del comune di Luras nella provincia della Gallura Nord-Est Sardegna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
