La Maddalena comune,La Maddalena comune.1
(IT) La Maddalena (CO) A Madalèna,(IT) La Maddalena (CO) A Madalèna
,
La Maddalena – Veduta,La Maddalena – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Gallura Nord-Est Sardegna
Amministrazione,Amministrazione
Sindaco,Fabio Lai (lista civica) dal 26-10-2020
Territorio,Territorio
Coordinate,41°12′51.26″N 9°24′29.99″E
Altitudine,27 m s.l.m.
Superficie,"52,01 km²"
Abitanti,10 450[1] (30-11-2025)
Densità,"200,92 ab./km²"
Frazioni,"Abbatoggia, Cala Francese, Cala Santa Maria, Moneta, Porto Massimo, Punta Villa, Puzzoni, Stagnali, Stazzo Villa, Sualeddu, Villaggio Piras"
Comuni confinanti,nessuno
Altre informazioni,Altre informazioni
Cod. postale,07024 e 07020
Prefisso,0789
Fuso orario,UTC+1
Codice ISTAT,113012
Cod. catastale,E425
Targa,OT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) maddalenini (CO) madalenini
Patrono,santa Maria Maddalena
Giorno festivo,22 luglio
Cartografia,Cartografia
La Maddalena,La Maddalena
La Maddalena – MappaPosizione del comune di La Maddalena nella provincia della Gallura Nord-Est Sardegna,La Maddalena – MappaPosizione del comune di La Maddalena nella provincia della Gallura Nord-Est Sardegna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
