Sant'Antonio di Gallura comune,Sant'Antonio di Gallura comune.1
(IT) Sant'Antonio di Gallura (SDN) Sant'Antoni di Gaddhura,(IT) Sant'Antonio di Gallura (SDN) Sant'Antoni di Gaddhura
,
Sant'Antonio di Gallura – Veduta,Sant'Antonio di Gallura – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Gallura Nord-Est Sardegna
Amministrazione,Amministrazione
Sindaco,Carlo Duilio Viti (lista civica) dal 31-5-2015 (2º mandato dal 26-10-2020)
Territorio,Territorio
Coordinate,40°59′31.02″N 9°18′06.22″E
Altitudine,354 m s.l.m.
Superficie,"81,69 km²"
Abitanti,1 437[1] (30-11-2025)
Densità,"17,59 ab./km²"
Frazioni,Priatu
Comuni confinanti,"Arzachena, Calangianus, Luras, Olbia, Telti"
Altre informazioni,Altre informazioni
Cod. postale,07030
Prefisso,079
Fuso orario,UTC+1
Codice ISTAT,113023
Cod. catastale,M276
Targa,OT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,"(IT, SDN) santantonesi"
Patrono,sant'Antonio Abate
Giorno festivo,17 gennaio / Ultima domenica di settembre
Cartografia,Cartografia
Sant'Antonio di Gallura,Sant'Antonio di Gallura
Sant'Antonio di Gallura – MappaPosizione del comune di Sant'Antonio di Gallura nella provincia della Gallura Nord-Est Sardegna,Sant'Antonio di Gallura – MappaPosizione del comune di Sant'Antonio di Gallura nella provincia della Gallura Nord-Est Sardegna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
