Tempio Pausania comune,Tempio Pausania comune.1
(IT) Tempio Pausania (SDN) Tèmpiu,(IT) Tempio Pausania (SDN) Tèmpiu
,
Tempio Pausania – Veduta,Tempio Pausania – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Gallura Nord-Est Sardegna
Amministrazione,Amministrazione
Sindaco,Giannetto Addis (lista civica) dal 26-10-2020
Territorio,Territorio
Coordinate,40°54′05.33″N 9°05′15.7″E
Altitudine,566 m s.l.m.
Superficie,"210,82 km²"
Abitanti,12 880[1] (30-11-2025)
Densità,"61,09 ab./km²"
Frazioni,"Bassacutena, Nuchis, San Pasquale (condivisa con il comune di Santa Teresa Gallura); Bassacutena e San Pasquale sono isole amministrative distaccate e distanti dal territorio comunale principale"
Comuni confinanti,"Aggius, Aglientu, Arzachena, Berchidda, Bortigiadas, Calangianus, Erula (SS), Luogosanto, Luras, Oschiri, Palau, Perfugas (SS), Santa Teresa Gallura, Tula (SS)"
Altre informazioni,Altre informazioni
Cod. postale,07029
Prefisso,079
Fuso orario,UTC+1
Codice ISTAT,113025
Cod. catastale,L093
Targa,OT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) tempiesi (SDN) timpiesi
Patrono,san Paolo Eremita e Vergine del Buon Cammino
Giorno festivo,30 agosto
Soprannome,La città di pietra
Cartografia,Cartografia
Tempio Pausania,Tempio Pausania
Tempio Pausania – MappaPosizione del comune di Tempio Pausania nella provincia della Gallura Nord-Est Sardegna,Tempio Pausania – MappaPosizione del comune di Tempio Pausania nella provincia della Gallura Nord-Est Sardegna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
