San Teodoro comune,San Teodoro comune.1
(IT) San Teodòro (SDN) Santu Diadòru (SC) Santu Tiadòru,(IT) San Teodòro (SDN) Santu Diadòru (SC) Santu Tiadòru
,
San Teodoro – Veduta,San Teodoro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Gallura Nord-Est Sardegna
Amministrazione,Amministrazione
Sindaco,Rita Deretta (lista civica) dal 26-10-2020
Territorio,Territorio
Coordinate,40°46′N 9°40′E
Altitudine,15 m s.l.m.
Superficie,"107,6 km²"
Abitanti,5 231[1] (30-11-2025)
Densità,"48,62 ab./km²"
Frazioni,"Li Cupuneddhi (Sos cuboneddos), Badualga (Badu arga), Budditogliu (Boddidorgiu), Franculacciu (Franculatzu), L'Alzoni (Alzone), La Patimedda (Sa padimedda), La Runcina (Sa runzina), La Traversa (Sa traessa), Li Tegghj (Sas téjas), Lu Fraili (Fraile), Lu Impostu (S'impostu), Lu Lioni (S'olidone), Su Nuragheddu (Naracheddu), Lutturai, Monte pedrosu, Ovilò (Uvilò), Ischifone (Schifoni), Silìmini, Sitagliacciu (Su sitagliatzu), Stazzu Brusgiatu (Istatzu brujadu), Stazzu di Mezu (Istatzu de mesu), Stràulas (Straula), La Suareddha (Sa suaredda), Tirìddhuli, Terra Padedda, Sas cannas, Punta áldia, S'istatzareddu (Lu stazzareddu)"
Comuni confinanti,"Budoni, Loiri Porto San Paolo, Padru, Torpè (NU)"
Altre informazioni,Altre informazioni
Cod. postale,07052
Prefisso,0784
Fuso orario,UTC+1
Codice ISTAT,113021
Cod. catastale,I329
Targa,OT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) teodorini (SDN) diadorini (SC) tiadorinos
Patrono,san Teodoro
Giorno festivo,9 novembre
Cartografia,Cartografia
San Teodoro,San Teodoro
San Teodoro – MappaPosizione del comune di San Teodoro nella provincia della Gallura Nord-Est Sardegna,San Teodoro – MappaPosizione del comune di San Teodoro nella provincia della Gallura Nord-Est Sardegna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
