Santa Teresa Gallura comune,Santa Teresa Gallura comune.1
(IT) Santa Teresa Gallura (SDN) Lungoni,(IT) Santa Teresa Gallura (SDN) Lungoni
,
Santa Teresa Gallura – Veduta,Santa Teresa Gallura – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Gallura Nord-Est Sardegna
Amministrazione,Amministrazione
Sindaco,Nadia Matta (lista civica) dal 26-10-2020
Territorio,Territorio
Coordinate,41°14′20.97″N 9°11′19.59″E
Altitudine,40 m s.l.m.
Superficie,"102,29 km²"
Abitanti,5 146[1] (30-11-2025)
Densità,"50,31 ab./km²"
Frazioni,"Capizza di Vacca, Capo Testa, Conca Verde, Conca Verde 1, Funtanaccia, Giovan Marco, La Ficaccia, La Filetta, Ruoni, La Malchisana, La Marmorata, Li Pinnenti, Liccia di Fora, Lu Caloni, Lu Cuppuneddu, Lu Pultiddolu I, Marazzino, Nansidei - La Filetta, Porto Pozzo[2], San Pasquale[3], Santa Reparata, Terravecchia - Portoquadro e Valle dell'Erica"
Comuni confinanti,"Aglientu, Palau, Tempio Pausania (isole amministrative di Bassacutena e San Pasquale)"
Altre informazioni,Altre informazioni
Cod. postale,07028
Prefisso,0789
Fuso orario,UTC+1
Codice ISTAT,113022
Cod. catastale,I312
Targa,OT
Cl. sismica,zona 4 (sismicità molto bassa)[4]
Nome abitanti,(IT) teresini (SDN) lungonesi
Patrono,"Santa Teresa, San Vittorio, Sant'Isidoro"
Cartografia,Cartografia
Santa Teresa Gallura,Santa Teresa Gallura
Santa Teresa Gallura – MappaPosizione del comune di Santa Teresa Gallura nella provincia della Gallura Nord-Est Sardegna,Santa Teresa Gallura – MappaPosizione del comune di Santa Teresa Gallura nella provincia della Gallura Nord-Est Sardegna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
