Golfo Aranci comune,Golfo Aranci comune.1
"(IT) Golfo Arànci (SDN, SC) Fìgari","(IT) Golfo Arànci (SDN, SC) Fìgari"
,
Golfo Aranci – Veduta,Golfo Aranci – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Gallura Nord-Est Sardegna
Amministrazione,Amministrazione
Sindaco,Giuseppe Fasolino (lista civica) dal 09-6-2024
Territorio,Territorio
Coordinate,41°00′13.81″N 9°36′53.58″E
Altitudine,19 m s.l.m.
Superficie,"37,43 km²"
Abitanti,2 377[1] (30-11-2025)
Densità,"63,51 ab./km²"
Frazioni,"Sos Aranzos, Cala Sassari, Punta Marana, Nodu Pianu, Rudalza (condivisa con Olbia)"
Comuni confinanti,Olbia
Altre informazioni,Altre informazioni
Cod. postale,07020
Prefisso,0789
Fuso orario,UTC+1
Codice ISTAT,113011
Cod. catastale,M274
Targa,OT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) golfarancini (SDN) figaresi (SC) figaresos
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Golfo Aranci,Golfo Aranci
Golfo Aranci – MappaPosizione del comune di Golfo Aranci nella provincia della Gallura Nord-Est Sardegna,Golfo Aranci – MappaPosizione del comune di Golfo Aranci nella provincia della Gallura Nord-Est Sardegna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
