Seravezza comune,Seravezza comune.1
,
Seravezza – Veduta,Seravezza – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Lucca
Amministrazione,Amministrazione
Sindaco,Lorenzo Alessandrini (lista civica Lista Lorenzo Alessandrini sindaco) dal 4-10-2021
Data di istituzione,1515
Territorio,Territorio
Coordinate,44°00′N 10°14′E
Altitudine,50 m s.l.m.
Superficie,"39,55 km²"
Abitanti,12 295[1] (30-11-2025)
Densità,"310,87 ab./km²"
Frazioni,"Azzano, Basati, Cerreta San Nicola, Cerreta Sant'Antonio, Corvaia, Fabbiano, Giustagnana, Federigi, Minazzana, Pozzi, Querceta, Riomagno, Ripa, Ruosina[2]"
Comuni confinanti,"Forte dei Marmi, Massa (MS), Montignoso (MS), Pietrasanta, Stazzema"
Altre informazioni,Altre informazioni
Cod. postale,55047
Prefisso,0584
Fuso orario,UTC+1
Codice ISTAT,046028
Cod. catastale,I622
Targa,LU
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 493 GG[4]"
Nome abitanti,seravezzini
Patrono,san Lorenzo e Madonna del Soccorso
Giorno festivo,10 agosto
Cartografia,Cartografia
Seravezza,Seravezza
Seravezza – MappaPosizione del comune di Seravezza all'interno della provincia di Lucca,Seravezza – MappaPosizione del comune di Seravezza all'interno della provincia di Lucca
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
